Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.60,0.6038,-2.4000
0.60,0.6038,-2.4000
0.60,0.6038,-2.4000
0.60,0.6038,-2.4000
0.60,0.6038,-2.4000
0.60,0.5998,-2.4000
0.60,0.5998,-2.4000
0.60,0.6038,-2.5000
0.60,0.6038,-2.5000
0.60,0.6038,-2.4000
0.60,0.6038,-2.4000
0.65,0.6518,-2.4000
0.65,0.6518,-2.4000
0.65,0.6518,-2.3000
0.65,0.6518,-2.4000
0.65,0.6518,-2.4000
0.65,0.6518,-2.3000
0.65,0.6518,-2.3000
0.65,0.6518,-2.4000
0.65,0.6518,-2.3000
0.65,0.6518,-2.4000
0.65,0.6518,-2.4000
0.70,0.7038,-2.3000
0.70,0.7038,-2.3000
0.70,0.6998,-2.3000
0.70,0.7038,-2.2000
0.70,0.7038,-2.3000
0.70,0.7038,-2.3000
0.70,0.7038,-2.2000
0.70,0.7038,-2.2000
0.70,0.7038,-2.3000
0.70,0.7038,-2.3000
0.70,0.7038,-2.3000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.75,0.7558,-2.1000
0.75,0.7518,-2.1000
0.75,0.7518,-2.1000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.7998,-1.8000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.80,0.8038,-1.9000
0.85,0.8519,-1.6000
0.85,0.8519,-1.5000
0.85,0.8559,-1.6000
0.85,0.8559,-1.5000
0.85,0.8558,-1.6000
0.85,0.8518,-1.6000
0.85,0.8518,-1.6000
0.85,0.8558,-1.6000
0.85,0.8558,-1.6000
0.85,0.8558,-1.6000
0.85,0.8558,-1.6000
0.90,0.9039,-1.1000
0.90,0.9039,-1.1000
0.90,0.9039,-1.2000
0.90,0.9039,-1.2000
0.90,0.9039,-1.2000
0.90,0.9039,-1.2000
0.90,0.9039,-1.1000
0.90,0.9039,-1.2000
0.90,0.9039,-1.2000
0.90,0.9039,-1.1000
0.90,0.9039,-1.2000
0.95,0.9519,-0.6000
0.95,0.9559,-0.6000
0.95,0.9559,-0.6000
0.95,0.9519,-0.6000
0.95,0.9559,-0.6000
0.95,0.9559,-0.6000
0.95,0.9519,-0.6000
0.95,0.9519,-0.6000
0.95,0.9559,-0.6000
0.95,0.9559,-0.7000
0.95,0.9559,-0.7000
1.00,1.0040,0.1000
1.00,1.0040,0.2000
1.00,1.0040,0.1000
1.00,1.0040,0.1000
1.00,1.0040,0.2000
1.00,1.0040,0.1000
1.00,1.0040,0.2000
1.00,1.0040,0.1000
1.00,1.0040,0.1000
1.00,1.0040,0.1000
1.00,1.0040,0.1000
1.05,1.0521,1.1000
1.05,1.0561,1.1000
1.05,1.0521,1.1000
1.05,1.0521,1.1000
1.05,1.0561,1.1000
1.05,1.0521,1.1000
1.05,1.0561,1.1000
1.05,1.0521,1.1000
1.05,1.0561,1.1000
1.05,1.0521,1.1000
1.05,1.0561,1.1000
1.10,1.1042,2.3000
1.10,1.1002,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.3000
1.10,1.1042,2.2000
1.15,1.1524,3.7000
1.15,1.1524,3.7000
1.15,1.1564,3.7000
1.15,1.1524,3.6000
1.15,1.1524,3.6000
1.15,1.1524,3.6000
1.15,1.1524,3.6000
1.15,1.1564,3.6000
1.15,1.1524,3.7000
1.15,1.1524,3.6000
1.15,1.1524,3.6000
