Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.55,0.5518,2.4000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.50,0.5038,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.45,0.4558,2.5000
0.45,0.4517,2.5000
0.45,0.4517,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.45,0.4518,2.5000
0.40,0.4037,2.6000
0.40,0.4037,2.6000
0.40,0.4038,2.6000
0.40,0.4038,2.5000
0.40,0.3998,2.6000
0.40,0.4038,2.5000
0.40,0.4038,2.6000
0.40,0.4038,2.6000
0.40,0.4037,2.5000
0.40,0.4038,2.6000
0.40,0.4038,2.5000
0.35,0.3517,2.6000
0.35,0.3517,2.6000
0.35,0.3518,2.6000
0.35,0.3518,2.6000
0.35,0.3517,2.6000
0.35,0.3517,2.6000
0.35,0.3517,2.6000
0.35,0.3517,2.6000
0.35,0.3517,2.5000
0.35,0.3517,2.6000
0.35,0.3518,2.6000
0.30,0.2997,2.6000
0.30,0.3037,2.6000
0.30,0.2997,2.6000
0.30,0.3037,2.5000
0.30,0.3037,2.6000
0.30,0.3037,2.6000
0.30,0.3037,2.6000
0.30,0.3037,2.6000
0.30,0.2997,2.6000
0.30,0.3037,2.6000
0.30,0.2997,2.6000
0.25,0.2517,2.6000
0.25,0.2517,2.7000
0.25,0.2517,2.7000
0.25,0.2517,2.6000
0.25,0.2517,2.6000
0.25,0.2517,2.6000
0.25,0.2517,2.7000
0.25,0.2517,2.6000
0.25,0.2517,2.6000
0.25,0.2517,2.6000
0.25,0.2517,2.6000
0.20,0.2037,2.6000
0.20,0.2037,2.7000
0.20,0.2037,2.6000
0.20,0.1997,2.7000
0.20,0.1997,2.6000
0.20,0.2037,2.6000
0.20,0.2037,2.6000
0.20,0.2037,2.6000
0.20,0.2037,2.6000
